	管線材質	ORDER_SEQ	品名	SIZE1	SIZE2	SCH1	SCH2	SIZE_LAYOUT	厚度	UNIT	IDENT_CODE	用料時機	採購量	可領用量	合計	合計2	項目	重組	設計需求	採購需求	缺料狀況	7月2日	7月9日	7月10日	7月11日	8月15日
33	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	預製					D	P210038_D	0.0	0	0	0	0	0	0	0
34	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	20	 	STD	 	"20"" STD"	9.53	M	P210038	預製					E	P210038_E	0.0	0	0	0	0	0	0	0
35	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	預製	18.0		7.2	7.2	-	P105222_-	0.0	0	0	0	0	0	0	0
36	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	預製					A	P105222_A	0.0	0	0	0	0	0	0	0
37	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	預製					B	P105222_B	7.2	12	-12	0	0	0	0	0
38	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	預製					D	P105222_D	0.0	0	0	0	0	0	0	0
39	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	16	 	STD	 	"16"" STD"	9.53	M	P105222	預製					E	P105222_E	0.0	0	0	0	0	0	0	0
40	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	預製	78.0		69.5	69.5	-	P47531_-	0.0	0	0	0	0	0	0	0
41	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	預製					A	P47531_A	0.0	0	0	0	0	0	0	0
42	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	預製					B	P47531_B	66.5	78	-78	0	0	0	0	0
43	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	預製					D	P47531_D	3.0	6	-6	0	0	0	0	0
44	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-160	 	"6"" S-160"	18.26	M	P47531	預製					E	P47531_E	0.0	0	0	0	0	0	0	0
45	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	預製	72.0		18.7	18.7	-	P211749_-	0.0	0	0	0	0	0	0	0
46	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	預製					A	P211749_A	0.0	0	0	0	0	0	0	0
47	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	預製					B	P211749_B	12.5	18	-18	0	0	0	0	0
48	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	預製					D	P211749_D	6.2	12	-12	0	0	0	0	0
49	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	6	 	S-40	 	"6"" S-40"	7.11	M	P211749	預製					E	P211749_E	0.0	0	0	0	0	0	0	0
50	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	預製	18.0		13.3	13.3	-	P100758_-	0.0	0	0	0	0	0	0	0
51	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	預製					A	P100758_A	0.0	0	0	0	0	0	0	0
52	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	預製					B	P100758_B	0.0	0	0	0	0	0	0	0
53	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	預製					D	P100758_D	13.3	18	-18	0	0	0	0	0
54	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-120	 	"4"" S-120"	11.13	M	P100758	預製					E	P100758_E	0.0	0	0	0	0	0	0	0
55	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	預製	6.0		0.2	0.2	-	P46905_-	0.0	0	0	0	0	0	0	0
56	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	預製					A	P46905_A	0.0	0	0	0	0	0	0	0
57	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	預製					B	P46905_B	0.2	6	-6	0	0	0	0	0
58	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	預製					D	P46905_D	0.0	0	0	0	0	0	0	0
59	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-160	 	"4"" S-160"	13.49	M	P46905	預製					E	P46905_E	0.0	0	0	0	0	0	0	0
60	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	預製	210.0		35.6	35.6	-	P211707_-	0.0	0	0	0	0	0	0	0
61	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	預製					A	P211707_A	0.0	0	0	0	0	0	0	0
62	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	預製					B	P211707_B	35.6	42	-42	0	0	0	0	0
63	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	預製					D	P211707_D	0.0	0	0	0	0	0	0	0
64	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	4	 	S-40	 	"4"" S-40"	6.02	M	P211707	預製					E	P211707_E	0.0	0	0	0	0	0	0	0
65	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	預製	6.0		0.8	0.8	-	P46863_-	0.0	0	0	0	0	0	0	0
66	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	預製					A	P46863_A	0.0	0	0	0	0	0	0	0
67	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	預製					B	P46863_B	0.8	6	-6	0	0	0	0	0
68	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	預製					D	P46863_D	0.0	0	0	0	0	0	0	0
69	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-160	 	"3"" S-160"	11.13	M	P46863	預製					E	P46863_E	0.0	0	0	0	0	0	0	0
70	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	預製	114.0		32.6	32.6	-	P211677_-	0.0	0	0	0	0	0	0	0
71	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	預製					A	P211677_A	0.0	0	0	0	0	0	0	0
72	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	預製					B	P211677_B	32.6	36	-36	0	0	0	0	0
73	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	預製					D	P211677_D	0.0	0	0	0	0	0	0	0
74	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	3	 	S-40	 	"3"" S-40"	5.49	M	P211677	預製					E	P211677_E	0.0	0	0	0	0	0	0	0
75	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	預製	174.0		80.2	80.2	-	P98370_-	0.0	0	0	0	0	0	0	0
76	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	預製					A	P98370_A	0.0	0	0	0	0	0	0	0
77	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	預製					B	P98370_B	80.2	90	-90	0	0	0	0	0
78	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	預製					D	P98370_D	0.0	0	0	0	0	0	0	0
79	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-160	 	"2"" S-160"	8.74	M	P98370	預製					E	P98370_E	0.0	0	0	0	0	0	0	0
80	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	預製	54.0		17.3	17.3	-	P75659_-	0.0	0	0	0	0	0	0	0
81	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	預製					A	P75659_A	0.0	0	0	0	0	0	0	0
82	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	預製					B	P75659_B	17.3	24	-12	12	0	0	0	0
83	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	預製					D	P75659_D	0.0	0	0	0	0	0	0	0
84	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	2	 	S-80	 	"2"" S-80"	5.54	M	P75659	預製					E	P75659_E	0.0	0	0	0	0	0	0	0
85	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	預製	6.0		0.1	0.1	-	P64172_-	0.0	0	0	0	0	0	0	0
86	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	預製					A	P64172_A	0.0	0	0	0	0	0	0	0
87	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	預製					B	P64172_B	0.0	0	0	0	0	0	0	0
88	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	預製					D	P64172_D	0.1	6	-6	0	0	0	0	0
89	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1.5	 	S-160	 	"1-1/2"" S-160"	7.14	M	P64172	預製					E	P64172_E	0.0	0	0	0	0	0	0	0
90	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	預製	252.0		229.2	228.6	-	P64128_-	0.0	0	0	0	0	0	0	0
91	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	預製					A	P64128_A	0.0	0	0	0	0	0	0	0
92	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	預製					B	P64128_B	0.0	0	0	0	0	0	0	0
93	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	預製					D	P64128_D	228.6	252	-252	0	0	0	0	0
94	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	1	 	S-160	 	"1"" S-160"	6.35	M	P64128	預製					E	P64128_E	0.0	0	0	0	0	0	0	0
95	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	預製	6.0		0.3	0.3	-	P64100_-	0.0	0	0	0	0	0	0	0
96	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	預製					A	P64100_A	0.0	0	0	0	0	0	0	0
97	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	預製					B	P64100_B	0.0	0	0	0	0	0	0	0
98	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	預製					D	P64100_D	0.3	6	-6	0	0	0	0	0
99	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	S-160	 	"3/4"" S-160"	5.56	M	P64100	預製					E	P64100_E	0.0	0	0	0	0	0	0	0
100	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	預製	180.0		7.9	7.9	-	P72847_-	0.0	0	0	0	0	0	0	0
101	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	預製					A	P72847_A	0.0	0	0	0	0	0	0	0
102	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	預製					B	P72847_B	7.9	12	-12	0	0	0	0	0
103	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	預製					D	P72847_D	0.0	0	0	0	0	0	0	0
104	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.75	 	XXS	 	"3/4"" XXS"	7.82	M	P72847	預製					E	P72847_E	0.0	0	0	0	0	0	0	0
105	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	預製	294.0		0.4	0.4	-	P64075_-	0.0	0	0	0	0	0	0	0
106	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	預製					A	P64075_A	0.0	0	0	0	0	0	0	0
107	碳鋼	102	PIPE SMLS BE CS A106-B  ASME  NACE	0.5	 	S-160	 	"1/2"" S-160"	4.78	M	P64075	預製					B	P64075_B	0.4	6	-6	0	0	0	0	0
