管線材質,ORDER_SEQ,品名,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,用料時機,採購量,可領用量,合計,合計2,項目,重組,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,預製,210,,35.6,35.6,-,P211707_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,預製,,,,,A,P211707_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,預製,,,,,B,P211707_B,35.6,42,-42,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,預製,,,,,D,P211707_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,M,P211707,預製,,,,,E,P211707_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,預製,6,,0.8,0.8,-,P46863_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,預製,,,,,A,P46863_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,預製,,,,,B,P46863_B,0.8,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,預製,,,,,D,P46863_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,M,P46863,預製,,,,,E,P46863_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,預製,114,,32.6,32.6,-,P211677_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,預製,,,,,A,P211677_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,預製,,,,,B,P211677_B,32.6,36,-36,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,預製,,,,,D,P211677_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,M,P211677,預製,,,,,E,P211677_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,預製,174,,80.2,80.2,-,P98370_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,預製,,,,,A,P98370_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,預製,,,,,B,P98370_B,80.2,90,-90,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,預製,,,,,D,P98370_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,M,P98370,預製,,,,,E,P98370_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,預製,54,,17.3,17.3,-,P75659_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,預製,,,,,A,P75659_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,預製,,,,,B,P75659_B,17.3,24,-12,12,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,預製,,,,,D,P75659_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,M,P75659,預製,,,,,E,P75659_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,預製,6,,0.1,0.1,-,P64172_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,預製,,,,,A,P64172_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,預製,,,,,B,P64172_B,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,預製,,,,,D,P64172_D,0.1,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,M,P64172,預製,,,,,E,P64172_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,預製,252,,229.2,228.6,-,P64128_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,預製,,,,,A,P64128_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,預製,,,,,B,P64128_B,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,預製,,,,,D,P64128_D,228.6,252,-252,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,M,P64128,預製,,,,,E,P64128_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,預製,6,,0.3,0.3,-,P64100_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,預製,,,,,A,P64100_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,預製,,,,,B,P64100_B,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,預製,,,,,D,P64100_D,0.3,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,M,P64100,預製,,,,,E,P64100_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,預製,180,,7.9,7.9,-,P72847_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,預製,,,,,A,P72847_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,預製,,,,,B,P72847_B,7.9,12,-12,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,預製,,,,,D,P72847_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,M,P72847,預製,,,,,E,P72847_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,預製,294,,0.4,0.4,-,P64075_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,預製,,,,,A,P64075_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,預製,,,,,B,P64075_B,0.4,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,預製,,,,,D,P64075_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P64075,預製,,,,,E,P64075_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,預製,48,,41.9,41.9,-,P44818_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,預製,,,,,A,P44818_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,預製,,,,,B,P44818_B,39,48,-48,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,預製,,,,,D,P44818_D,2.9,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE(IMPACT TEST at -1 DEG. C),8, ,S-140, ,"8"" S-140",20.62,M,P44818,預製,,,,,E,P44818_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,預製,624,,304.8,304.8,-,P24908_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,預製,,,,,A,P24908_A,301.6,336,0,336,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,預製,,,,,B,P24908_B,0.3,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,預製,,,,,D,P24908_D,2.9,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,M,P24908,預製,,,,,E,P24908_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,預製,6,,4.6,4.6,-,P24900_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,預製,,,,,A,P24900_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,預製,,,,,B,P24900_B,4.6,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,預製,,,,,D,P24900_D,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-160, ,"1"" S-160",6.35,M,P24900,預製,,,,,E,P24900_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-80, ,"1"" S-80",4.55,M,P24910,預製,1818,,840.1,829.5,-,P24910_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-80, ,"1"" S-80",4.55,M,P24910,預製,,,,,A,P24910_A,547.6,606,0,606,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-80, ,"1"" S-80",4.55,M,P24910,預製,,,,,B,P24910_B,107.1,120,0,120,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-80, ,"1"" S-80",4.55,M,P24910,預製,,,,,D,P24910_D,174.8,192,-48,144,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,1, ,S-80, ,"1"" S-80",4.55,M,P24910,預製,,,,,E,P24910_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,M,P24911,預製,588,,215.4,195.3,-,P24911_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,M,P24911,預製,,,,,A,P24911_A,88.8,102,-102,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,M,P24911,預製,,,,,B,P24911_B,53.6,60,-60,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,M,P24911,預製,,,,,D,P24911_D,52.9,60,-60,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,M,P24911,預製,,,,,E,P24911_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P24902,預製,6,,0.3,0.3,-,P24902_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P24902,預製,,,,,A,P24902_A,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P24902,預製,,,,,B,P24902_B,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P24902,預製,,,,,D,P24902_D,0.3,6,-6,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-160, ,"1/2"" S-160",4.78,M,P24902,預製,,,,,E,P24902_E,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-80, ,"1/2"" S-80",3.73,M,P24912,預製,1452,,346.4,346.4,-,P24912_-,0,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-80, ,"1/2"" S-80",3.73,M,P24912,預製,,,,,A,P24912_A,0.3,0,0,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-80, ,"1/2"" S-80",3.73,M,P24912,預製,,,,,B,P24912_B,345.1,384,-384,0,0,0,0,0
碳鋼,102,PIPE SMLS PE CS A106-B  ASME   ,0.5, ,S-80, ,"1/2"" S-80",3.73,M,P24912,預製,,,,,D,P24912_D,1,0,0,0,0,0,0,0
