管線材質,ORDER_SEQ,0,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL150 RF CS A105  ASME   ,3, , , ,"3""",,PC,F00373,安裝,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL150 RF CS A105  ASME   ,2, , , ,"2""",,PC,F00369,安裝,18,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL150 RF CS A105  ASME   ,1.5, , , ,"1-1/2""",,PC,F00363,安裝,4,,3,3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,3,3,-3,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL1500 RJ CS A105  ASME  NACE(IMPACT TEST at -1 DEG. C),0.75, , , ,"3/4""",,PC,F204821,安裝,10,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL2500 RJ CS A105  ASME  NACE(IMPACT TEST at -1 DEG. C),1, , , ,"1""",,PC,F59038,安裝,14,,12,12,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,11,11,-11,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL300 RF CS A105  ASME   ,8, , , ,"8""",,PC,F01113,安裝,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL300 RF CS A105  ASME   ,3, , , ,"3""",,PC,F01118,安裝,5,,5,5,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,5,5,-5,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,411,BLIND FLANGE CL300 RF CS A105  ASME   ,2, , , ,"2""",,PC,F01123,安裝,29,,15,15,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,8,8,-8,0,0,0,0,0
,,,,,,,,,,,,,,,,D,7,7,-7,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,PC,F06075,預製,26,,19,19,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,14,14,0,14,0,0,0,0
,,,,,,,,,,,,,,,,B,3,3,0,3,0,0,0,0
,,,,,,,,,,,,,,,,D,2,2,0,2,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME   ,1, ,S-160, ,"1"" S-160",6.35,PC,F07042,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME   ,1, ,S-80, ,"1"" S-80",4.55,PC,F06073,預製,86,,47,46,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,3,3,0,3,0,0,0,0
,,,,,,,,,,,,,,,,B,32,32,-4,28,0,0,0,0
,,,,,,,,,,,,,,,,D,11,11,-11,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,PC,F06072,預製,70,,30,30,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,22,22,1,23,0,0,0,0
,,,,,,,,,,,,,,,,B,6,6,0,6,0,0,0,0
,,,,,,,,,,,,,,,,D,2,2,0,2,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME   ,0.5, ,S-80, ,"1/2"" S-80",3.73,PC,F06071,預製,473,,28,28,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,28,28,5,33,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME  NACE,1.5, ,S-80, ,"1-1/2"" S-80",5.08,PC,F60065,預製,4,,4,4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,4,4,-4,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,PC,F145771,預製,11,,5,5,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,5,5,-5,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL150 RF CS A105  ASME  NACE,1, ,S-80, ,"1"" S-80",4.55,PC,F60026,預製,8,,8,8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,8,8,-8,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL2500 RJ CS A105  ASME   ,1, ,S-80, ,"1"" S-80",4.55,PC,F14988,預製,4,,3,3,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,3,3,-1,2,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL2500 RJ CS A105  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,PC,F130601,預製,3,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL300 RF CS A105  ASME   ,1.5, ,S-80, ,"1-1/2"" S-80",5.08,PC,F04169,預製,14,,6,6,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,2,2,0,2,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,4,4,-4,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL300 RF CS A105  ASME   ,1, ,S-80, ,"1"" S-80",4.55,PC,F04167,預製,98,,72,72,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,13,13,0,13,0,0,0,0
,,,,,,,,,,,,,,,,B,44,44,-30,14,0,0,0,0
,,,,,,,,,,,,,,,,D,15,15,-15,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL300 RF CS A105  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,PC,F04166,預製,51,,28,28,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,14,14,0,14,0,0,0,0
,,,,,,,,,,,,,,,,B,10,10,-9,1,0,0,0,0
,,,,,,,,,,,,,,,,D,4,4,0,4,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL300 RF CS A105  ASME   ,0.5, ,S-80, ,"1/2"" S-80",3.73,PC,F04165,預製,77,,8,8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,4,4,-2,2,0,0,0,0
,,,,,,,,,,,,,,,,D,4,4,-4,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL300 RF CS A105  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,PC,F135941,預製,3,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,412,SW FLANGE CL300 RF CS A105  ASME  NACE,0.5, ,S-80, ,"1/2"" S-80",3.73,PC,F60691,預製,2,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME   ,10, ,S-40, ,"10"" S-40",9.27,PC,F03918,預製,2,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME   ,8, ,S-40, ,"8"" S-40",8.18,PC,F03917,預製,35,,8,8,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,4,4,0,4,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,4,4,0,4,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME   ,6, ,S-40, ,"6"" S-40",7.11,PC,F03916,預製,65,,5,5,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,4,4,0,4,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME   ,4, ,S-40, ,"4"" S-40",6.02,PC,F03914,預製,53,,20,20,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,11,11,0,11,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,D,8,8,-5,3,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME   ,3, ,S-40, ,"3"" S-40",5.49,PC,F03913,預製,36,,9,9,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,4,4,0,4,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,D,4,4,-1,3,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME   ,2, ,S-80, ,"2"" S-80",5.54,PC,F03960,預製,30,,7,7,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,1,1,0,1,0,0,0,0
,,,,,,,,,,,,,,,,B,3,3,0,3,0,0,0,0
,,,,,,,,,,,,,,,,D,3,3,-3,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME  NACE,4, ,S-40, ,"4"" S-40",6.02,PC,F127855,預製,23,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,PC,F145586,預製,3,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL150 RF CS A105  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,PC,F60336,預製,3,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL1500 RJ CS A105  ASME  NACE,6, ,S-160, ,"6"" S-160",18.26,PC,F134020,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL1500 RJ CS A105  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,PC,F231451,預製,7,,7,7,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,7,7,-7,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL1500 RJ CS A105  ASME  NACE,0.75, ,XXS, ,"3/4"" XXS",7.82,PC,F61352,預製,105,,10,10,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,10,10,-10,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME   ,3, ,S-40, ,"3"" S-40",5.49,PC,F61747,預製,2,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME   ,1, ,S-80, ,"1"" S-80",4.55,PC,F90144,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME   ,0.75, ,S-80, ,"3/4"" S-80",3.91,PC,F70343,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME  NACE,4, ,S-120, ,"4"" S-120",11.13,PC,F59521,預製,6,,4,4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,4,4,-4,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME  NACE,3, ,S-160, ,"3"" S-160",11.13,PC,F108500,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME  NACE,2, ,S-160, ,"2"" S-160",8.74,PC,F108430,預製,2,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME  NACE,1.5, ,S-160, ,"1-1/2"" S-160",7.14,PC,F108390,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME  NACE,1, ,S-160, ,"1"" S-160",6.35,PC,F108291,預製,35,,24,24,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,23,23,-2,0,0,0,0,21
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME  NACE,0.75, ,S-160, ,"3/4"" S-160",5.56,PC,F108253,預製,26,,6,6,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,6,6,-6,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL2500 RJ CS A105  ASME  NACE,0.5, ,S-160, ,"1/2"" S-160",4.78,PC,F108219,預製,133,,22,22,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,12,12,-12,0,0,0,0,0
,,,,,,,,,,,,,,,,D,10,10,-10,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL300 RF CS A105  ASME   ,8, ,S-40, ,"8"" S-40",8.18,PC,F05076,預製,24,,15,15,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,15,15,-15,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL300 RF CS A105  ASME   ,6, ,S-40, ,"6"" S-40",7.11,PC,F05075,預製,18,,10,10,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,10,10,-1,0,0,0,0,9
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL300 RF CS A105  ASME   ,4, ,S-40, ,"4"" S-40",6.02,PC,F05073,預製,28,,15,15,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,15,15,-6,2,0,0,0,7
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL300 RF CS A105  ASME   ,3, ,S-40, ,"3"" S-40",5.49,PC,F05072,預製,49,,41,41,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,10,10,0,10,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,31,31,-16,5,0,0,0,10
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL300 RF CS A105  ASME   ,2, ,S-80, ,"2"" S-80",5.54,PC,F05089,預製,135,,10,10,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,10,10,-7,0,0,0,0,3
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL300 RF CS A105  ASME  NACE,3, ,S-40, ,"3"" S-40",5.49,PC,F127317,預製,4,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL300 RF CS A105  ASME  NACE,2, ,S-80, ,"2"" S-80",5.54,PC,F61015,預製,6,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,415,WN FLANGE CL600 RF CS A105  ASME   ,2, ,S-80, ,"2"" S-80",5.54,PC,F02962,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,0,0,0,0,0,1
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,453,"ORIFICE WN FLANGE CL1500 RJ CS A105 W/ 3/4"" SW TAPS ASME  NACE",2, ,S-160, ,"2"" S-160",8.74,PAIR,F199064,預製,8,,4,4,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,4,4,-4,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,453,"ORIFICE WN FLANGE CL2500 RJ CS A105 W/ 1/2"" SW TAPS ASME  NACE(IMPACT TEST at -1 DEG. C)",8, ,S-140, ,"8"" S-140",20.62,PAIR,F140280,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,D,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,453,"ORIFICE WN FLANGE CL300 RF CS A105 W/ 1/2"" FNPT TAPS ASME   ",8, ,S-80, ,"8"" S-80",12.7,PAIR,F02622,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,0,0,0,0,0,1
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,453,"ORIFICE WN FLANGE CL300 RF CS A105 W/ 1/2"" FNPT TAPS ASME   ",6, ,S-40, ,"6"" S-40",7.11,PAIR,F02652,預製,2,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,2,2,-2,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,453,"ORIFICE WN FLANGE CL300 RF CS A105 W/ 1/2"" FNPT TAPS ASME   ",4, ,S-40, ,"4"" S-40",6.02,PAIR,F02654,預製,1,,1,1,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,B,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,D,1,1,-1,0,0,0,0,0
,,,,,,,,,,,,,,,,E,0,0,0,0,0,0,0,0
碳鋼,453,"ORIFICE WN FLANGE CL300 RF CS A105 W/ 1/2"" FNPT TAPS ASME   ",3, ,S-40, ,"3"" S-40",5.49,PAIR,F02655,預製,2,,2,2,-,0,0,0,0,0,0,0,0
,,,,,,,,,,,,,,,,A,1,1,0,1,0,0,0,0
