管線材質,ORDER_SEQ,Short_desc,SIZE1,SIZE2,SCH1,SCH2,SIZE_LAYOUT,厚度,UNIT,IDENT_CODE,中文說明,用料時機,採購量,可領用量,合計,合計2,項目,設計需求,採購需求,缺料狀況,7月2日,7月9日,7月10日,7月11日,8月15日,8月22日,8月24日,重組
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,2, ,S-80, ,"2"" S-80",5.54,M,P24517,鋼管,預製,,,,,A,166.7,186,0,186,0,0,0,0,0,0,P24517_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,2, ,S-80, ,"2"" S-80",5.54,M,P24517,鋼管,預製,,,,,B,43.3,48,0,48,0,0,0,0,0,0,P24517_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,2, ,S-80, ,"2"" S-80",5.54,M,P24517,鋼管,預製,,,,,D,111.2,126,-114,12,0,0,0,0,0,0,P24517_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME   ,2, ,S-80, ,"2"" S-80",5.54,M,P24517,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P24517_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,20, ,STD, ,"20"" STD",9.53,M,P210038,鋼管,預製,24,,7.2,7.2,-,0,0,0,0,0,0,0,0,0,0,P210038_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,20, ,STD, ,"20"" STD",9.53,M,P210038,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P210038_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,20, ,STD, ,"20"" STD",9.53,M,P210038,鋼管,預製,,,,,B,7.2,12,-12,0,0,0,0,0,0,0,P210038_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,20, ,STD, ,"20"" STD",9.53,M,P210038,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P210038_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,20, ,STD, ,"20"" STD",9.53,M,P210038,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P210038_E
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,16, ,STD, ,"16"" STD",9.53,M,P105222,鋼管,預製,18,,7.2,7.2,-,0,0,0,0,0,0,0,0,0,0,P105222_-
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,16, ,STD, ,"16"" STD",9.53,M,P105222,鋼管,預製,,,,,A,0,0,0,0,0,0,0,0,0,0,P105222_A
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,16, ,STD, ,"16"" STD",9.53,M,P105222,鋼管,預製,,,,,B,7.2,12,-12,0,0,0,0,0,0,0,P105222_B
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,16, ,STD, ,"16"" STD",9.53,M,P105222,鋼管,預製,,,,,D,0,0,0,0,0,0,0,0,0,0,P105222_D
碳鋼,102,PIPE SMLS BE CS A106-B  ASME  NACE,16, ,STD, ,"16"" STD",9.53,M,P105222,鋼管,預製,,,,,E,0,0,0,0,0,0,0,0,0,0,P105222_E
